"year","region","passage","sentence","sentence_low"
"2007","天津","D","The study has shown that meditation is good for the brain.","the study has shown that meditation is good for the brain."
"2007","天津","D","It appears to reduce pressure and promote a sense of well-being.","it appears to reduce pressure and promote a sense of well-being."
"2007","天津","D","In an experiment, 17 volunteers with no meditation experience in the experimental group spent three months meditating 10 to 12 hours a day.","in an experiment, 17 volunteers with no meditation experience in the experimental group spent three months meditating 10 to 12 hours a day."
"2007","天津","D","A control group also with no meditation experience meditated for 20 minutes a day over the same period.","a control group also with no meditation experience meditated for 20 minutes a day over the same period."
"2007","天津","D","Both groups were then given the tests with two numbers in a group of letters.","both groups were then given the tests with two numbers in a group of letters."
"2007","天津","D","As both group looked for the numbers, their brain activitity was recorded.","as both group looked for the numbers, their brain activitity was recorded."
"2007","天津","D","Everyone could catch the first number.","everyone could catch the first number."
"2007","天津","D","But the brain recordings showed that the less experienced meditators tended to grasp the first number and hang onto it, so they missed the second number.","but the brain recordings showed that the less experienced meditators tended to grasp the first number and hang onto it, so they missed the second number."
"2007","天津","D","Those with more experience gave less attention to the first number, as if letting it go, which led to an increased ability to grasp the second number.","those with more experience gave less attention to the first number, as if letting it go, which led to an increased ability to grasp the second number."
"2007","天津","D","This shows that attention can change with practice.","this shows that attention can change with practice."
"2007","天津","D","Just ask Daniel Levision, who meditated for three months as part of the study.","just ask daniel levision, who meditated for three months as part of the study."
"2007","天津","D","""I am a much better listener,"" he said.","""i am a much better listener,"" he said."
"2007","天津","D",""" I don't get lost in my own personal reaction to what people are saying.""",""" i don't get lost in my own personal reaction to what people are saying."""
"2007","天津","D","48 The underlined word ""them"" in Paragraph 1 refers to ______.","48 the underlined word ""them"" in paragraph 1 refers to ______."
"2007","天津","D","A.feelings","a.feelings"
"2007","天津","D","B.minds","b.minds"
"2007","天津","D","C.people","c.people"
"2007","天津","D","D.thoughts","d.thoughts"
"2007","天津","D","49 Meditations manage their daily tasks better because they ______.","49 meditations manage their daily tasks better because they ______."
"2007","天津","D","A.are given less pressure","a.are given less pressure"
"2007","天津","D","B.allocate their attention better","b.allocate their attention better"
"2007","天津","D","C.have more stimuli for life","c.have more stimuli for life"
"2007","天津","D","D.practice them more frequently","d.practice them more frequently"
"2007","天津","D","50 In the experiment, volunteers doing meditation for longer hours ______.","50 in the experiment, volunteers doing meditation for longer hours ______."
"2007","天津","D","A.were more likely to catch both of the nembers","a.were more likely to catch both of the nembers"
"2007","天津","D","B.were used to memorizing numbers in groups","b.were used to memorizing numbers in groups"
"2007","天津","D","C.usually ignored the first number observed","c.usually ignored the first number observed"
"2007","天津","D","D.paid more attention to numbers than to letters","d.paid more attention to numbers than to letters"
"2007","天津","D","51 The study proves that ______.","51 the study proves that ______."
"2007","天津","D","A.meditation improves one's health","a.meditation improves one's health"
"2007","天津","D","B.brain activity can be recorded","b.brain activity can be recorded"
"2007","天津","D","C.human attention can be trained","c.human attention can be trained"
"2007","天津","D","D.mediators have a good sense of hearing","d.mediators have a good sense of hearing"
"2007","天津","E","When we think of leadership, we often think of strength and power.","when we think of leadership, we often think of strength and power."
"2007","天津","E","But what are these really, and how do they operate?","but what are these really, and how do they operate?"
"2007","天津","E","Leadership today is not about forcing others to do things.","leadership today is not about forcing others to do things."
"2007","天津","E","If this is even possible, it is short-term, and tends to backfire.","if this is even possible, it is short-term, and tends to backfire."
"2007","天津","E","If you order someone to do something against their will, they may do it because they feel they must, but the anger they feel will do more harm in the long-term.","if you order someone to do something against their will, they may do it because they feel they must, but the anger they feel will do more harm in the long-term."
"2007","天津","E","They will also experience fear.","they will also experience fear."
"2007","天津","E","Fear causes the thinking brain to shut down, making the person unable to function at his or her best.","fear causes the thinking brain to shut down, making the person unable to function at his or her best."
"2007","天津","E","If they associate you with this emotion (情绪) of fear, they will become less functional around you, and you will have succeeded in not only shooting yourself in the foot, but possibly making a very good employee or partner unable to perform effectively.","if they associate you with this emotion (情绪) of fear, they will become less functional around you, and you will have succeeded in not only shooting yourself in the foot, but possibly making a very good employee or partner unable to perform effectively."
"2007","天津","E","Fear has no place in leadership.","fear has no place in leadership."
"2007","天津","E","The way we influence people in a lasting way is by our own character, and our understanding and use of emotion.","the way we influence people in a lasting way is by our own character, and our understanding and use of emotion."
"2007","天津","E","We can order someone to do something, which may be part of the work day; or we can employ them at the emotional level, so they became fully devoted to the projects and provide some of their own motivation (积极性) .","we can order someone to do something, which may be part of the work day; or we can employ them at the emotional level, so they became fully devoted to the projects and provide some of their own motivation (积极性) ."
"2007","天津","E","Today's work place is all about relationships.","today's work place is all about relationships."
"2007","天津","E","Anyone works harder in a positive environment in which they are recognized and valued as a human being as well as a worker.","anyone works harder in a positive environment in which they are recognized and valued as a human being as well as a worker."
"2007","天津","E","Everyone produces just a bit more for someone they like.","everyone produces just a bit more for someone they like."
"2007","天津","E","Leaders understand the way things work.","leaders understand the way things work."
"2007","天津","E","They know the pay check is not the single most motivating factor (因素) in the work life of most people.","they know the pay check is not the single most motivating factor (因素) in the work life of most people."
"2007","天津","E","The true strength of leadership is an inner strength that comes from the confidence of emotional intelligence -- knowing your own emotions, and how to handle them, and those of others.","the true strength of leadership is an inner strength that comes from the confidence of emotional intelligence -- knowing your own emotions, and how to handle them, and those of others."
"2007","天津","E","Developing your emotional intelligence is the single best thing you can do if you want to develop your relationships with people around you, which is the key to the leadership skills.","developing your emotional intelligence is the single best thing you can do if you want to develop your relationships with people around you, which is the key to the leadership skills."
"2007","天津","E","52 An employee may have a feeling of fear in the work place when ______.","52 an employee may have a feeling of fear in the work place when ______."
"2007","天津","E","A.he is forced to do things","a.he is forced to do things"
"2007","天津","E","B.be cannot work at his best","b.be cannot work at his best"
"2007","天津","E","C.he feels his brain shut down","c.he feels his brain shut down"
"2007","天津","E","D.he thinks of his work as too heavy","d.he thinks of his work as too heavy"
"2007","天津","E","53 Which of the following is TRUE according to the passage?","53 which of the following is true according to the passage?"
"2007","天津","E","A.People tend to associate leadership with fear","a.people tend to associate leadership with fear"
"2007","天津","E","B.Working conditions affect people's physical health","b.working conditions affect people's physical health"
"2007","天津","E","C.Good relationship is the key to business success","c.good relationship is the key to business success"
"2007","天津","E","D.Smart people are more functional in the work place.","d.smart people are more functional in the work place."
"2007","天津","E","54 To positively influence employees a leader should first of all ______.","54 to positively influence employees a leader should first of all ______."
"2007","天津","E","A.provide better suggestions","a.provide better suggestions"
"2007","天津","E","B.develop his own personality","b.develop his own personality"
"2007","天津","E","C.give his employees a pay raise","c.give his employees a pay raise"
"2007","天津","E","D.hide his own emotion of fear","d.hide his own emotion of fear"
"2007","天津","E","55 Good leadership is mainly seen in a leader's ability to ______.","55 good leadership is mainly seen in a leader's ability to ______."
"2007","天津","E","A.provide a variety of project for employees","a.provide a variety of project for employees"
"2007","天津","E","B.help raise employee's living standards","b.help raise employee's living standards"
"2007","天津","E","C.give employees specific instructions","c.give employees specific instructions"
"2007","天津","E","D.deal wisely with employees' emotions","d.deal wisely with employees' emotions"
"2008","天津","A","Sandra Cisneros was born in Chicago in 1954 to a Mexican American family.","sandra cisneros was born in chicago in 1954 to a mexican american family."
"2008","天津","A","As the only girl in a family of seven children, she often felt like she had ""seven fathers,"" because her six brothers, as well as her father, tried to control her.","as the only girl in a family of seven children, she often felt like she had ""seven fathers,"" because her six brothers, as well as her father, tried to control her."
"2008","天津","A","Feeling shy and unimportant, she retreated (躲避) into books.","feeling shy and unimportant, she retreated (躲避) into books."
"2008","天津","A","Despite her love of reading, she did not do well in elementary school because she was too shy to participate.","despite her love of reading, she did not do well in elementary school because she was too shy to participate."
"2008","天津","A","In high school, with the encouragement of one particular teacher, Cisneros improved her grades and worked for the school literary magazine.","in high school, with the encouragement of one particular teacher, cisneros improved her grades and worked for the school literary magazine."
"2008","天津","A","Her father encouraged her to go to college because he thought it would be a good way for her to find a husband.","her father encouraged her to go to college because he thought it would be a good way for her to find a husband."
"2008","天津","A","Cisneros did attend college, but instead of searching for a husband, she found a teacher who helped her join the famous graduate writing program at the University of Iowa.","cisneros did attend college, but instead of searching for a husband, she found a teacher who helped her join the famous graduate writing program at the university of iowa."
"2008","天津","A","At the university's Writers' Workshop, however, she felt lonely -- a Mexican American from a poor neighborhood among students from wealthy families.","at the university's writers' workshop, however, she felt lonely -- a mexican american from a poor neighborhood among students from wealthy families."
"2008","天津","A","The feeling of being so different helped Cisneros find her ""Creative voice.""","the feeling of being so different helped cisneros find her ""creative voice."""
"2008","天津","A","""It was not until this moment when I considered myself truly different that my writing acquired a voice.","""it was not until this moment when i considered myself truly different that my writing acquired a voice."
"2008","天津","A","I knew I was a Mexican woman, but I didn't think it had anything to do with why I felt so much imbalance in my life, but it had everything to do with it!","i knew i was a mexican woman, but i didn't think it had anything to do with why i felt so much imbalance in my life, but it had everything to do with it!"
"2008","天津","A","That's when I decided I would write about something my classmates couldn't write about.""","that's when i decided i would write about something my classmates couldn't write about."""
"2008","天津","A","Cisneros published her first work, The House on Mango Street, when she was twenty-nine.","cisneros published her first work, the house on mango street, when she was twenty-nine."
"2008","天津","A","The book tells about a young Mexican American girl growing up in a Spanish-speaking area in Chicago, much like the neighborhoods in which Cisneros lived as a child.","the book tells about a young mexican american girl growing up in a spanish-speaking area in chicago, much like the neighborhoods in which cisneros lived as a child."
"2008","天津","A","The book won an award in 1985 and has been used in classes from high school through graduate school level.","the book won an award in 1985 and has been used in classes from high school through graduate school level."
"2008","天津","A","Since then, Cisneros has published several books of poetry, a children's book, and a short-story collection.","since then, cisneros has published several books of poetry, a children's book, and a short-story collection."
"2008","天津","A","36 Which of the following is TRUE about Cisneros in her childhood?","36 which of the following is true about cisneros in her childhood?"
"2008","天津","A","A.She had seven brothers.","a.she had seven brothers."
"2008","天津","A","B.She felt herself a nobody.","b.she felt herself a nobody."
"2008","天津","A","C.She was too shy to go to school.","c.she was too shy to go to school."
"2008","天津","A","D.She did not have any good teachers.","d.she did not have any good teachers."
"2008","天津","A","37 The graduate program gave Cisneros a chance to ______.","37 the graduate program gave cisneros a chance to ______."
"2008","天津","A","A.work for a school magazine","a.work for a school magazine"
"2008","天津","A","B.run away from her family","b.run away from her family"
"2008","天津","A","C.make a lot of friends","c.make a lot of friends"
"2008","天津","A","D.develop her writing style","d.develop her writing style"
"2008","天津","A","38 According to Cisneros, what played the decisive role in her success?","38 according to cisneros, what played the decisive role in her success?"
"2008","天津","A","A.Her early years in college.","a.her early years in college."
"2008","天津","A","B.Her training in the Workshop.","b.her training in the workshop."
"2008","天津","A","C.Her feeling of being different.","c.her feeling of being different."
"2008","天津","A","D.Her childhood experience.","d.her childhood experience."
"2008","天津","A","39 What do we learn about The House on Mango Street?","39 what do we learn about the house on mango street?"
"2008","天津","A","A.It is quite popular among students.","a.it is quite popular among students."
"2008","天津","A","B.It is the only book ever written by Cisneros.","b.it is the only book ever written by cisneros."
"2008","天津","A","C.It wasn't success as it was written in Spanish.","c.it wasn't success as it was written in spanish."
"2008","天津","A","D.It won an award when Cisneros was twenty-nine.","d.it won an award when cisneros was twenty-nine."
"2008","天津","B","I love charity (慈善) shops and so do lots of other people in Britain because you find quite a few of them on every high street.","i love charity (慈善) shops and so do lots of other people in britain because you find quite a few of them on every high street."
"2008","天津","B","The charity shop is a British institution, selling everything from clothes to electric goods, all at very good prices.","the charity shop is a british institution, selling everything from clothes to electric goods, all at very good prices."
"2008","天津","B","You can get things you won't find in the shops anymore.","you can get things you won't find in the shops anymore."
"2008","天津","B","The thing I like best about them is that your money is going to a good cause and not into the pockets of profit-driven companies, and you are not damaging the planet, but finding a new home for unwanted goods.","the thing i like best about them is that your money is going to a good cause and not into the pockets of profit-driven companies, and you are not damaging the planet, but finding a new home for unwanted goods."
"2008","天津","B","The first charity shop was opened in 1947 by Oxfam.","the first charity shop was opened in 1947 by oxfam."
"2008","天津","B","The famous charity's appeal to aid postwar Greece had been so successful it had been flooded with donations (捐赠物).","the famous charity's appeal to aid postwar greece had been so successful it had been flooded with donations (捐赠物)."
"2008","天津","B","They decided to set up a shop to sell some of these donations to raise money for that appeal.","they decided to set up a shop to sell some of these donations to raise money for that appeal."
"2008","天津","B","Now there are over 7,000 charity shops in the UK.","now there are over 7,000 charity shops in the uk."
"2008","天津","B","My favourite charity shop in my hometown is the Red Cross shop, where I always find children's books, all 10 or 20 pence each.","my favourite charity shop in my hometown is the red cross shop, where i always find children's books, all 10 or 20 pence each."
"2008","天津","B","Most of the people working in the charity shops are volunteers, although there is often a manager who gets paid.","most of the people working in the charity shops are volunteers, although there is often a manager who gets paid."
"2008","天津","B","Over 90% of the goods in the charity shops are donated by the public.","over 90% of the goods in the charity shops are donated by the public."
"2008","天津","B","Every morning you see bags of unwanted items outside the front of shops, although they don't encourage this, rather ask people to bring things in when the shop is open.","every morning you see bags of unwanted items outside the front of shops, although they don't encourage this, rather ask people to bring things in when the shop is open."
"2008","天津","B","The shops have very low running costs: all profits go to charity work.","the shops have very low running costs: all profits go to charity work."
"2008","天津","B","Charity shops raise more than ￡110 million a year, funding（资助）medical research, overseas aid, supporting sick and poor children, homeless and disabled people, and much more.","charity shops raise more than ￡110 million a year, funding（资助）medical research, overseas aid, supporting sick and poor children, homeless and disabled people, and much more."
"2008","天津","B","What better place to spend your money?","what better place to spend your money?"
"2008","天津","B","You get something special for a very good price and a good moral sense.","you get something special for a very good price and a good moral sense."
"2008","天津","B","You provide funds to a good cause and tread lightly on the environment.","you provide funds to a good cause and tread lightly on the environment."
"2008","天津","B","40 The author loves the charity shop mainly because of ______.","40 the author loves the charity shop mainly because of ______."
"2008","天津","B","A.its convenient location","a.its convenient location"
"2008","天津","B","B.its great variety of goods","b.its great variety of goods"
"2008","天津","B","C.its spirit of goodwill","c.its spirit of goodwill"
"2008","天津","B","D.its nice shopping environment","d.its nice shopping environment"
